,company,title,salary,location,date
2094,APPZEN INC,DATA SCIENTIST,"160,000","SAN JOSE, CA",12/26/2019
2095,PAYPAL INC,DATA SCIENTIST,"160,000","SAN JOSE, CA",01/04/2022
2096,CISCO SYSTEMS INC,DATA SCIENTIST,"163,000","SAN JOSE, CA",02/26/2021
2097,CISCO SYSTEMS INC,DATA SCIENTIST,"163,000","SAN JOSE, CA",04/06/2021
2098,ADOBE INC,DATA SCIENTIST,"163,530","SAN JOSE, CA",04/10/2020
2099,EBAY INC,DATA SCIENTIST,"164,900","SAN JOSE, CA",01/28/2021
2100,APPZEN INC,DATA SCIENTIST,"165,000","SAN JOSE, CA",03/28/2022
2101,XACTLY CORPORATION,DATA SCIENTIST,"165,360","SAN JOSE, CA",03/24/2016
2102,ADOBE INC,DATA SCIENTIST,"168,002","SAN JOSE, CA",02/26/2020
2103,ADOBE INC,DATA SCIENTIST,"168,834","SAN JOSE, CA",01/25/2022
2104,DATABRICKS INC,DATA SCIENTIST,"171,300","SAN JOSE, CA",03/12/2022
2105,PAYPAL INC,DATA SCIENTIST,"172,000","SAN JOSE, CA",09/17/2019
2106,PAYPAL INC,DATA SCIENTIST,"175,000","SAN JOSE, CA",06/20/2019
2107,MICRON TECHNOLOGY INC,DATA SCIENTIST,"175,000","SAN JOSE, CA",03/11/2022
2108,PAYPAL INC,DATA SCIENTIST,"180,000","SAN JOSE, CA",11/15/2019
2109,ADOBE SYSTEMS INCORPORATED,DATA SCIENTIST,"183,066","SAN JOSE, CA",03/04/2015
2110,IBM CORPORATION,DATA SCIENTIST,"185,496","SAN JOSE, CA",10/01/2020
2111,APPZEN INC,DATA SCIENTIST,"192,600","SAN JOSE, CA",01/12/2021
2112,INTERNATIONAL BUSINESS MACHINES CORPORATION,DATA SCIENTIST,"194,397","SAN JOSE, CA",12/16/2019
2113,CIRCLE INTERNET FINANCIAL LLC,DATA SCIENTIST,"200,000","SAN JOSE, CA",08/16/2021
2114,IBM CORPORATION,DATA SCIENTIST,"211,848","SAN JOSE, CA",04/09/2020
2115,CCC INFORMATION SERVICES INC,DATA SCIENTIST,"45,614","AUSTIN, TX",03/08/2018
2116,AMNE INC,DATA SCIENTIST,"60,000","AUSTIN, TX",03/10/2018
2117,AMNE INC,DATA SCIENTIST,"60,000","AUSTIN, TX",03/10/2018
2118,CCC INFORMATION SERVICES INC,DATA SCIENTIST,"62,795","AUSTIN, TX",04/15/2020
2119,APPLIED MATERIALS INC,DATA SCIENTIST,"64,397","AUSTIN, TX",03/13/2019
2120,CINTRA US SERVICES LLC,DATA SCIENTIST,"65,000","AUSTIN, TX",02/19/2019
2121,CINTRA US SERVICES LLC,DATA SCIENTIST,"65,000","AUSTIN, TX",02/06/2018
2122,AMNE INC,DATA SCIENTIST,"66,000","AUSTIN, TX",03/20/2019
2123,AMNE INC,DATA SCIENTIST,"66,000","AUSTIN, TX",04/01/2019
2124,QCUE INC,DATA SCIENTIST,"67,000","AUSTIN, TX",03/12/2015
2125,"
 
",null,null,null,null
2126,SAILPOINT TECHNOLOGIES INC,DATA SCIENTIST,"68,080","AUSTIN, TX",03/08/2019
2127,SPARKCOGNITION INC,DATA SCIENTIST,"70,000","AUSTIN, TX",03/15/2017
2128,CALLINIZE INC,DATA SCIENTIST,"70,000","AUSTIN, TX",03/09/2017
2129,INTEL CORPORATION,DATA SCIENTIST,"72,259","AUSTIN, TX",03/26/2022
2130,DOCUSIGN INC,DATA SCIENTIST,"72,259","AUSTIN, TX",04/11/2022
