,company,title,salary,location,date
2833,NATIVEX HOLDINGS LLC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",02/26/2015
2834,DRIVER INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",03/01/2017
2835,PLANGRID INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",03/03/2017
2836,CEREGO LLC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",03/01/2019
2837,CEREGO LLC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",03/04/2019
2838,TRIB3COM INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",03/14/2018
2839,KENSHOO INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",03/09/2019
2840,AUTODESK INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",05/24/2019
2841,DRIVER INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",03/10/2017
2842,EVISORT INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",02/21/2018
2843,AFINITI INC,DATA SCIENTIST,"125,000","SAN FRANCISCO, CA",12/15/2021
2844,PROSPER MARKETPLACE INC,DATA SCIENTIST,"125,500","SAN FRANCISCO, CA",06/04/2019
2845,TEN TWENTY FOUR INC,DATA SCIENTIST,"125,800","SAN FRANCISCO, CA",04/19/2021
2846,UBER TECHNOLOGIES INC,DATA SCIENTIST,"125,965","SAN FRANCISCO, CA",10/07/2020
2847,SHOPIFY (USA) INC,DATA SCIENTIST,"125,965","SAN FRANCISCO, CA",03/09/2021
2848,SALESFORCECOM INC,DATA SCIENTIST,"125,965","SAN FRANCISCO, CA",04/12/2021
2849,PINTEREST INC,DATA SCIENTIST,"125,965","SAN FRANCISCO, CA",04/12/2021
2850,FORMATION INC,DATA SCIENTIST,"126,000","SAN FRANCISCO, CA",04/12/2022
2851,DIGISIGHT TECHNOLOIGES INC,DATA SCIENTIST,"126,298","SAN FRANCISCO, CA",03/11/2018
2852,NATIVEX HOLDINGS LLC,DATA SCIENTIST,"126,500","SAN FRANCISCO, CA",02/26/2015
2853,AIRBNB INC,DATA SCIENTIST,"126,633","SAN FRANCISCO, CA",04/14/2020
2854,UBER TECHNOLOGIES INC,DATA SCIENTIST,"126,700","SAN FRANCISCO, CA",03/25/2022
2855,PINTEREST INC,DATA SCIENTIST,"126,900","SAN FRANCISCO, CA",03/20/2015
2856,PINTEREST INC,DATA SCIENTIST,"127,046","SAN FRANCISCO, CA",02/03/2017
2857,SHOPIFY (USA) INC,DATA SCIENTIST,"127,088","SAN FRANCISCO, CA",08/11/2021
2858,UBER TECHNOLOGIES INC,DATA SCIENTIST,"127,088","SAN FRANCISCO, CA",03/30/2022
2859,OURARING INC,DATA SCIENTIST,"127,088","SAN FRANCISCO, CA",03/09/2022
2860,SHOPIFY (USA) INC,DATA SCIENTIST,"127,088","SAN FRANCISCO, CA",12/22/2021
2861,CONTEXTLOGIC INC DBA WISH,DATA SCIENTIST,"127,200","SAN FRANCISCO, CA",03/05/2021
2862,PINTEREST INC,DATA SCIENTIST,"127,500","SAN FRANCISCO, CA",02/02/2018
2863,PLANGRID INC,DATA SCIENTIST,"127,900","SAN FRANCISCO, CA",02/16/2018
2864,ANCESTRYCOM OPERATIONS INC,DATA SCIENTIST,"128,000","SAN FRANCISCO, CA",03/03/2016
2865,AIRBNB INC,DATA SCIENTIST,"128,000","SAN FRANCISCO, CA",01/31/2018
2866,AIRBNB INC,DATA SCIENTIST,"128,000","SAN FRANCISCO, CA",02/18/2017
2867,AIRBNB INC,DATA SCIENTIST,"128,000","SAN FRANCISCO, CA",02/18/2017
2868,FACEBOOK INC,DATA SCIENTIST,"128,065","SAN FRANCISCO, CA",08/16/2021
2869,DROPBOX INC,DATA SCIENTIST,"128,400","SAN FRANCISCO, CA",04/03/2020
2870,DROPBOX INC,DATA SCIENTIST,"128,400","SAN FRANCISCO, CA",04/03/2020
2871,UBER TECHNOLOGIES INC,DATA SCIENTIST,"128,600","SAN FRANCISCO, CA",04/06/2022
2872,UBER TECHNOLOGIES INC,DATA SCIENTIST,"129,000","SAN FRANCISCO, CA",12/19/2018
2873,CONTEXTLOGIC INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",02/15/2018
2874,CONTEXTLOGIC INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",02/06/2018
2875,PINTEREST INC,DATA SCIENTIST,"129,106","SAN FRANCISCO, CA",03/03/2018
